gene_name,in_known_top25,in_predicted_P3_top25,in_predicted_P7_top25,novel_at_P3,novel_at_P7,resolves_by_P3
2210418O10Rik,False,False,True,False,True,False
9530051G07Rik,False,True,True,True,True,False
9530059O14Rik,True,True,True,False,False,False
A830036E02Rik,True,False,False,False,False,True
Adgrg6,True,False,False,False,False,True
Angpt2,False,True,False,True,False,False
Angptl2,False,True,True,True,True,False
B230206I08Rik,True,False,False,False,False,True
Dgka,True,False,False,False,False,True
Exo1,True,False,False,False,False,True
Fam163a,True,False,False,False,False,True
Fyco1,False,True,False,True,False,False
G530011O06Rik,False,False,True,False,True,False
Gm13416,True,True,False,False,False,False
Gm14440,True,False,True,False,False,False
Gm21955,False,True,True,True,True,False
Gm26825,True,False,False,False,False,True
Gm27000,True,False,True,False,False,False
Gm28661,True,False,False,False,False,True
Gm28928,True,True,True,False,False,False
Gm30382,True,True,True,False,False,False
Gm3200,False,True,True,True,True,False
Gm3693,True,False,False,False,False,True
Gm37121,True,False,False,False,False,True
Gm37161,False,True,False,True,False,False
Gm37226,False,True,True,True,True,False
Gm37694,False,True,True,True,True,False
Gm37893,False,True,True,True,True,False
Gm38214,False,True,False,True,False,False
Gm42735,True,False,False,False,False,True
Gm44257,False,False,True,False,True,False
Gm44560,True,False,False,False,False,True
Gm44769,True,False,False,False,False,True
Gm44846,True,True,False,False,False,False
Gm45159,True,False,False,False,False,True
Gpr146,True,False,False,False,False,True
Grm8,True,False,False,False,False,True
Hmgb2,True,False,False,False,False,True
Kcnh4,True,False,False,False,False,True
Kndc1,True,False,False,False,False,True
L3mbtl4,False,True,False,True,False,False
Lama3,True,False,True,False,False,False
Lrp1b,True,False,False,False,False,True
Meg3,True,False,False,False,False,True
Npas4,True,True,True,False,False,False
Ntng1,True,False,False,False,False,True
Nts,True,True,True,False,False,False
Oprk1,False,True,True,True,True,False
Pcdhga10,True,False,False,False,False,True
RP24-77E13.10,False,True,True,True,True,False
Rmst,True,False,False,False,False,True
Rn7sk,True,False,False,False,False,True
Rpl18a,True,False,False,False,False,True
Scn9a,True,False,False,False,False,True
Sfrp1,True,False,False,False,False,True
Sgol2a,True,False,False,False,False,True
Slc7a3,True,False,False,False,False,True
Snhg11,True,False,False,False,False,True
Styk1,True,True,True,False,False,False
Trim16,True,True,True,False,False,False
Ttk,True,False,False,False,False,True
Tuba1c,True,False,False,False,False,True
Txn1,True,False,False,False,False,True
Zbtb40,False,True,True,True,True,False
Zfhx3,True,True,True,False,False,False
mt-Atp6,True,False,True,False,False,False
mt-Co2,True,False,False,False,False,True
mt-Co3,True,False,False,False,False,True
