rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
1,mt-Atp6,1.0,0.53041816,0.7859501,0.7721228,0.76941264,0.59408104,0.33415404,0.5326366,1.0,0.51279724,0.49820742
2,mt-Co3,0.77429754,0.5199365,0.44997472,0.58140296,0.9281066,0.53960395,0.21869574,0.59275347,1.0,0.3506926,0.5287181
3,Npas4,0.09339636,0.97264016,0.37091878,0.47898507,0.95604676,0.4579321,0.75962794,0.66940546,1.0,0.5410228,0.19125587
4,Nts,0.418676,0.81107694,0.103455186,0.4444027,0.945036,0.41997653,0.39571375,0.2537593,1.0,0.30328012,0.2168926
5,9530059O14Rik,0.29253846,0.96982545,0.045781516,0.43604848,0.93912196,0.4095027,0.7494962,0.48636878,1.0,0.30826005,0.022909822
6,Gm44846,0.39044324,0.79253805,0.03494604,0.4059758,0.9881695,0.40117288,0.7004977,0.49836853,1.0,0.32036385,0.0365661
7,Gm30382,0.29025567,0.8224251,0.06378356,0.39215478,0.99841547,0.3915334,0.64515996,0.4655807,1.0,0.25548014,0.040019233
8,Gm13416,0.4690185,0.80608135,0.08512061,0.4534068,0.81408036,0.36910957,0.7224117,0.49947074,1.0,0.34021798,0.016348673
9,Gm26825,0.047966372,0.12853965,1.0,0.39216867,0.9133102,0.35817167,0.5512356,0.6707989,1.0,0.4623882,0.11132498
10,Pcdhga10,0.37971184,0.75109845,0.034731347,0.3885139,0.90154785,0.35026386,0.48662674,0.48426116,1.0,0.94187826,0.28106374
11,Gm44769,0.24778798,0.62914485,0.2084649,0.36179924,0.96328527,0.34851587,0.639735,0.4524553,1.0,0.6131186,0.045804664
12,Rmst,0.262311,0.7649796,0.01551177,0.3476008,0.9880718,0.34345454,0.6047593,0.41354162,1.0,0.8194054,0.11731275
13,Gm14440,0.15165666,0.5477305,0.44548902,0.3816254,0.89076763,0.33993956,0.5258843,0.35187763,1.0,0.58885384,0.08937957
14,Sgol2a,0.39762765,0.5139002,0.15235664,0.35462818,0.9551878,0.3387365,0.33362964,0.31883228,1.0,0.63393867,0.19248882
15,Styk1,0.098624595,0.9140837,0.041968923,0.35155907,0.96246135,0.338362,0.4354239,0.39936045,1.0,0.51864094,0.06367338
16,Gm27000,0.03356383,0.44157693,0.7085678,0.39456952,0.8564133,0.3379146,0.67890656,0.5685368,1.0,0.60417044,0.12326523
17,B230206I08Rik,0.18566008,0.74187094,0.1022547,0.34326193,0.98203397,0.33709487,0.6142637,0.45554137,1.0,0.51924837,0.018278822
18,Gm28928,0.02502293,0.81052685,0.17743173,0.33766052,0.99778825,0.3369137,0.91370374,0.57188356,1.0,0.052750852,0.027873892
19,mt-Co2,0.24814714,0.7259076,0.12867072,0.36757517,0.91392475,0.33593604,0.30109537,0.64707536,1.0,0.57784975,0.43171418
20,Gm45159,0.1946814,0.71228325,0.11271961,0.33989477,0.98219055,0.33384144,0.72075015,0.4981109,1.0,0.29489198,0.023187462
21,Snhg11,0.49542847,0.6056716,0.018551104,0.37321708,0.8734241,0.3259768,0.98323566,0.67600214,1.0,0.08041934,0.5376285
22,Hmgb2,0.31617248,0.6707258,0.0033148946,0.33007106,0.98217875,0.32418877,0.24350534,0.21355167,1.0,0.43437168,0.35035592
23,Zfhx3,0.059847873,0.8460213,0.085210286,0.33035982,0.98106694,0.32410508,0.3627859,0.41274467,1.0,0.9028482,0.18995956
24,Gm37121,0.36183652,0.47928968,0.1370097,0.3260453,0.9937949,0.32402217,0.48644638,0.4567449,1.0,0.9573577,0.011840145
25,Scn9a,0.20814562,0.7044474,0.06064825,0.32441375,0.98506653,0.3195691,0.52065414,0.33671924,1.0,0.6152364,0.17653798
26,Fam163a,0.33628502,0.53013086,0.22599834,0.36413804,0.8615491,0.3137228,0.53539926,0.5316963,1.0,0.90526885,0.17497428
27,Gm28661,0.81017035,0.110460475,0.27511492,0.3985819,0.7764385,0.30947432,0.544784,0.5694096,0.0,0.9465928,0.89963126
28,Trim16,0.07732205,0.761157,0.19640225,0.34496045,0.89170647,0.30760348,0.48753956,0.43110582,1.0,0.81732696,0.13021432
29,Ntng1,0.19107583,0.7423543,0.07153161,0.33498725,0.9174566,0.30733627,0.69882286,0.56843895,1.0,0.5559301,0.22705926
30,Lama3,0.064251445,0.73347276,0.18085006,0.32619143,0.9379637,0.30595574,0.5392166,0.58294463,1.0,0.8128052,0.117542304
31,Adgrg6,0.10066004,0.67680687,0.19694312,0.32480332,0.9364011,0.3041462,0.63378394,0.5571519,1.0,0.5642707,0.0910776
32,Kndc1,0.5016463,0.44318148,0.01689096,0.3205729,0.94835997,0.30401853,0.76271355,0.61859584,1.0,0.3726158,0.36006042
33,Kcnh4,0.11126539,0.7273691,0.105829716,0.3148214,0.9629213,0.30314824,0.6717958,0.52476144,1.0,0.34929743,0.26707852
34,Grm8,0.36378714,0.45979998,0.060346823,0.29464465,0.97839504,0.28827888,0.77356213,0.64062274,1.0,0.2843877,0.1952468
35,A830036E02Rik,0.27258578,0.30080748,0.28329998,0.2855644,0.9968406,0.2846622,0.8942745,0.6921571,1.0,0.22599322,0.22953658
36,Rpl18a,0.071867585,0.6463881,0.1358583,0.28470466,0.9859095,0.28069302,0.23856126,0.41264948,1.0,0.3326247,0.5894513
37,Gm3693,0.26459005,0.63068765,0.047408674,0.3142288,0.89315647,0.28065547,0.6188258,0.5211548,1.0,0.66747725,0.13162151
38,Ttk,0.4075218,0.25467923,0.22310348,0.2951015,0.9507309,0.2805621,0.36326504,0.29319674,1.0,0.40326503,0.15894686
39,Txn1,0.18666087,0.45425403,0.20828915,0.28306803,0.98657674,0.27926832,0.39055488,0.44928953,1.0,0.72893107,0.42990866
40,Exo1,0.46694311,0.38484174,0.10407054,0.31861845,0.8733726,0.27827263,0.4182264,0.3322904,1.0,0.45996296,0.16043042
41,Gm42735,0.08226345,0.7289261,0.03981331,0.28366765,0.98012275,0.2780291,0.6709674,0.47127163,1.0,0.38659903,0.0130879935
42,Dgka,0.21316954,0.6017005,0.080217466,0.2983625,0.93085814,0.27773315,0.54349643,0.51142156,1.0,0.70307827,0.18494338
43,Gm44560,0.23908186,0.5901151,0.21787265,0.3490232,0.7951704,0.27753294,0.65339124,0.49393362,1.0,0.59103173,0.0550409
44,Tuba1c,0.37739024,0.30006275,0.17445819,0.2839704,0.97535634,0.27697232,0.3410064,0.35024408,1.0,0.8675864,0.27124155
45,Gpr146,0.13105987,0.75213593,0.03376399,0.30565327,0.9043449,0.27641597,0.6340329,0.6537756,1.0,0.71007234,0.16041377
46,Rn7sk,0.5084414,0.45588905,0.075250596,0.346527,0.7949313,0.27546516,0.22436593,0.63553476,1.0,0.28000793,0.12294223
47,Meg3,0.19405434,0.57611424,0.05930669,0.27649173,0.9889827,0.27344555,0.8111798,0.5284654,1.0,0.21057588,0.71412164
48,Lrp1b,0.24229194,0.54283345,0.04890165,0.27800903,0.98351836,0.27342698,0.73173654,0.5841357,1.0,0.40471,0.3022655
49,Slc7a3,0.3665872,0.42779985,0.081184015,0.29185703,0.9281753,0.27089447,0.6679068,0.5988667,1.0,0.81844693,0.13996053
50,Sfrp1,0.16408084,0.5242581,0.16709688,0.28514528,0.94095665,0.26830935,0.18795708,0.255471,1.0,0.71656144,0.41529602
